Week,Relative interest,Interaction
10/23/16,63,pollination
10/30/16,68,pollination
11/6/16,70,pollination
11/13/16,69,pollination
11/20/16,60,pollination
11/27/16,65,pollination
12/4/16,65,pollination
12/11/16,49,pollination
12/18/16,35,pollination
12/25/16,35,pollination
1/1/17,42,pollination
1/8/17,56,pollination
1/15/17,60,pollination
1/22/17,69,pollination
1/29/17,68,pollination
2/5/17,74,pollination
2/12/17,75,pollination
2/19/17,75,pollination
2/26/17,97,pollination
3/5/17,88,pollination
3/12/17,78,pollination
3/19/17,92,pollination
3/26/17,88,pollination
4/2/17,77,pollination
4/9/17,79,pollination
4/16/17,86,pollination
4/23/17,93,pollination
4/30/17,88,pollination
5/7/17,95,pollination
5/14/17,84,pollination
5/21/17,73,pollination
5/28/17,69,pollination
6/4/17,67,pollination
6/11/17,66,pollination
6/18/17,64,pollination
6/25/17,53,pollination
7/2/17,52,pollination
7/9/17,54,pollination
7/16/17,56,pollination
7/23/17,44,pollination
7/30/17,51,pollination
8/6/17,45,pollination
8/13/17,46,pollination
8/20/17,58,pollination
8/27/17,50,pollination
9/3/17,61,pollination
9/10/17,66,pollination
9/17/17,70,pollination
9/24/17,61,pollination
10/1/17,68,pollination
10/8/17,77,pollination
10/15/17,70,pollination
10/22/17,73,pollination
10/29/17,71,pollination
11/5/17,69,pollination
11/12/17,73,pollination
11/19/17,57,pollination
11/26/17,73,pollination
12/3/17,69,pollination
12/10/17,62,pollination
12/17/17,61,pollination
12/24/17,45,pollination
12/31/17,53,pollination
1/7/18,63,pollination
1/14/18,68,pollination
1/21/18,74,pollination
1/28/18,76,pollination
2/4/18,82,pollination
2/11/18,76,pollination
2/18/18,74,pollination
2/25/18,86,pollination
3/4/18,91,pollination
3/11/18,91,pollination
3/18/18,83,pollination
3/25/18,76,pollination
4/1/18,77,pollination
4/8/18,90,pollination
4/15/18,93,pollination
4/22/18,99,pollination
4/29/18,100,pollination
5/6/18,97,pollination
5/13/18,92,pollination
5/20/18,84,pollination
5/27/18,78,pollination
6/3/18,75,pollination
6/10/18,73,pollination
6/17/18,69,pollination
6/24/18,63,pollination
7/1/18,62,pollination
7/8/18,58,pollination
7/15/18,60,pollination
7/22/18,57,pollination
7/29/18,56,pollination
8/5/18,55,pollination
8/12/18,59,pollination
8/19/18,54,pollination
8/26/18,59,pollination
9/2/18,62,pollination
9/9/18,70,pollination
9/16/18,71,pollination
9/23/18,83,pollination
9/30/18,73,pollination
10/7/18,78,pollination
10/14/18,75,pollination
10/21/18,76,pollination
10/28/18,86,pollination
11/4/18,75,pollination
11/11/18,72,pollination
11/18/18,62,pollination
11/25/18,79,pollination
12/2/18,73,pollination
12/9/18,66,pollination
12/16/18,58,pollination
12/23/18,44,pollination
12/30/18,49,pollination
1/6/19,73,pollination
1/13/19,74,pollination
1/20/19,69,pollination
1/27/19,79,pollination
2/3/19,77,pollination
